"carat","clarity","color","cut","price"
0.53,"SI2","F","Ideal",1279
1.31,"VS1","H","Ideal",8583
1.3,"SI2","J","Very Good",5047
2.09,"SI1","H","Ideal",14383
0.3,"SI1","E","Good",526
0.74,"SI1","F","Premium",2415
0.5,"VVS2","G","Very Good",1904
0.7,"SI1","E","Ideal",2058
0.4,"VVS1","I","Good",842
0.41,"VS1","F","Ideal",1076
0.56,"VS2","J","Premium",1232
1,"SI1","G","Fair",4163
0.35,"VVS1","H","Ideal",798
0.31,"VS2","E","Ideal",680
1.5,"VS2","E","Premium",12587
0.7,"VS2","E","Very Good",2862
0.42,"SI2","D","Premium",898
1.53,"SI2","E","Very Good",11069
0.42,"VS2","H","Ideal",760
1.52,"IF","I","Ideal",10609
1.51,"VVS1","G","Premium",15420
0.3,"VVS2","J","Ideal",439
0.69,"VS2","E","Good",2057
1,"SI2","H","Premium",3584
0.23,"VVS2","E","Very Good",505
1.02,"SI2","G","Premium",3027
0.35,"VS1","F","Ideal",754
0.56,"SI1","D","Premium",1814
0.32,"VS1","I","Ideal",523
0.77,"SI2","E","Good",2005
1.11,"VS2","I","Premium",4744
1.09,"SI1","I","Ideal",5486
0.4,"SI2","F","Ideal",764
0.42,"VS2","D","Premium",825
0.76,"VS2","E","Very Good",3517
0.7,"SI1","G","Premium",2375
1.54,"VS1","J","Ideal",8848
1.01,"SI1","F","Good",4816
0.53,"VS2","E","Ideal",1727
0.71,"SI2","F","Ideal",2668
0.3,"VS1","E","Very Good",653
0.31,"VS2","F","Ideal",757
0.51,"VS2","G","Very Good",1438
1.04,"VS1","H","Ideal",6255
0.8,"VS1","F","Ideal",4070
1.08,"SI2","D","Premium",5138
0.78,"VS1","E","Premium",3538
1.74,"SI1","I","Very Good",10823
1.51,"SI1","F","Premium",11374
0.73,"SI2","D","Premium",1730
0.32,"SI1","D","Very Good",526
0.79,"VS2","D","Ideal",3818
0.3,"VVS1","G","Good",789
0.32,"VS2","F","Ideal",645
0.35,"VVS1","G","Ideal",1028
0.7,"VS2","H","Ideal",2862
0.4,"SI2","F","Ideal",619
0.53,"VVS2","G","Ideal",1867
1.13,"SI2","G","Ideal",5062
0.9,"VS1","H","Very Good",3964
0.71,"VS1","F","Ideal",3013
1,"VS1","G","Good",6187
0.56,"VS1","G","Ideal",1837
0.55,"VS2","G","Very Good",1551
0.46,"VVS1","E","Ideal",1586
0.35,"VS1","E","Very Good",790
1.51,"SI1","E","Very Good",10113
2.12,"SI1","H","Very Good",18118
0.7,"SI1","F","Premium",2023
1.61,"SI1","I","Ideal",9611
0.91,"SI1","E","Ideal",5458
1.09,"SI2","D","Premium",5164
2.01,"SI2","H","Good",12423
1.6,"VS1","J","Ideal",8904
2.05,"VS1","J","Premium",14224
0.31,"VVS1","F","Ideal",840
1.31,"VVS2","G","Ideal",13168
1.2,"SI1","I","Premium",5510
1.04,"SI2","I","Premium",3512
1,"VS2","G","Premium",5645
0.49,"SI1","F","Premium",1072
1.52,"SI1","H","Premium",9527
1.5,"VS1","J","Very Good",8014
0.79,"SI1","G","Ideal",2898
1.57,"VS2","G","Ideal",12506
0.35,"VS1","G","Very Good",706
0.3,"VVS2","H","Ideal",605
0.36,"VS1","E","Ideal",852
0.32,"SI1","D","Good",589
0.31,"SI1","E","Premium",698
0.46,"VS2","I","Ideal",893
1.29,"SI1","H","Ideal",7513
0.3,"VS2","H","Premium",608
1.66,"VS2","H","Premium",10993
0.3,"SI1","H","Good",432
0.32,"VVS2","G","Ideal",730
0.6,"VVS2","F","Ideal",3196
0.9,"VVS1","H","Ideal",4783
0.34,"IF","G","Ideal",974
0.7,"SI2","I","Premium",1890
0.34,"I1","D","Ideal",413
0.93,"SI2","D","Good",3540
2.01,"SI1","G","Good",18077
0.54,"VS2","G","Good",1422
2,"VS1","I","Ideal",17607
1.1,"SI1","G","Premium",4712
0.33,"SI1","E","Premium",579
0.32,"VVS1","F","Ideal",926
0.71,"VS2","E","Very Good",2804
1.24,"I1","J","Premium",2994
0.82,"VVS1","I","Very Good",3443
1.22,"VS2","H","Premium",6354
0.31,"VS2","F","Premium",802
1.51,"SI1","I","Fair",8355
0.5,"SI1","E","Premium",1238
2.31,"VVS1","J","Premium",16100
0.8,"VS2","F","Ideal",3713
0.9,"VS2","I","Very Good",3489
0.73,"SI1","E","Ideal",2846
1.5,"VS2","G","Good",11508
0.71,"VS1","H","Ideal",2175
0.31,"VS2","H","Ideal",507
1.54,"SI1","E","Premium",10314
0.34,"SI1","I","Ideal",459
0.32,"VS2","E","Ideal",702
0.5,"VVS2","G","Ideal",1858
1,"SI2","E","Premium",4200
0.7,"VS1","D","Very Good",3054
0.52,"VS1","D","Ideal",1835
0.71,"SI1","G","Ideal",3007
0.65,"IF","E","Ideal",4184
0.41,"SI1","G","Ideal",923
1.01,"SI1","G","Good",5051
0.33,"VS2","D","Ideal",667
0.5,"SI1","G","Very Good",1237
1.21,"VS1","G","Ideal",9287
0.51,"VVS2","G","Good",1800
0.72,"VS1","E","Ideal",3947
0.41,"VVS2","G","Very Good",932
1,"SI1","F","Premium",5197
0.74,"VS1","G","Ideal",2780
0.9,"VS2","H","Very Good",4082
1.21,"VS1","G","Good",8741
0.31,"VVS2","G","Ideal",907
1.21,"SI1","F","Premium",5720
0.4,"SI1","F","Good",882
1.05,"VS1","G","Fair",7283
0.5,"SI1","E","Ideal",1415
0.5,"VS2","D","Very Good",1758
0.53,"VVS1","F","Ideal",2618
1.51,"I1","H","Premium",4404
1.51,"SI2","F","Premium",9471
0.41,"SI1","G","Premium",923
0.5,"VS1","F","Very Good",1849
0.32,"VS2","F","Premium",602
1.01,"SI1","F","Premium",4775
0.52,"VS2","E","Premium",1743
0.95,"SI2","I","Good",2905
0.32,"VS2","E","Ideal",900
0.51,"SI2","D","Premium",1406
0.7,"SI1","G","Ideal",2310
0.31,"VS1","H","Ideal",544
1.6,"VS2","F","Ideal",18421
0.9,"SI2","D","Ideal",3990
1.1,"SI2","F","Good",3918
0.72,"VS2","I","Ideal",2650
0.51,"VVS1","E","Ideal",3226
0.31,"VS1","I","Premium",489
1,"SI1","E","Good",3696
0.4,"VS1","H","Premium",938
1.03,"SI1","F","Ideal",6044
0.31,"VS1","E","Ideal",942
1.33,"SI1","J","Ideal",5996
0.32,"VS1","G","Ideal",718
0.32,"VS2","I","Ideal",576
0.5,"SI1","D","Premium",1610
0.77,"SI1","F","Good",2642
0.5,"VVS2","F","Very Good",2153
0.78,"SI1","D","Premium",3019
1.79,"VS1","I","Premium",13104
1.09,"IF","E","Ideal",15193
0.33,"VS2","D","Ideal",781
3.51,"VS2","J","Premium",18701
0.32,"VS1","G","Ideal",828
0.9,"VS2","G","Premium",4022
0.38,"VVS1","F","Ideal",1096
0.38,"VVS1","E","Ideal",1327
0.5,"VS1","I","Ideal",1266
1.57,"VS2","I","Premium",7385
0.32,"SI1","E","Very Good",524
1.22,"VS1","I","Premium",6354
0.4,"VVS2","G","Premium",1050
0.38,"VS2","D","Good",871
0.4,"VVS2","D","Premium",1323
1.01,"SI2","D","Good",4672
0.53,"VS2","E","Very Good",1653
0.48,"VS2","F","Premium",1294
1.09,"VS1","H","Premium",5860
0.31,"SI1","G","Premium",593
0.41,"VVS2","G","Ideal",1007
0.55,"VS2","E","Very Good",1719
0.54,"VVS2","F","Very Good",2198
1.23,"VS1","F","Premium",9319
0.52,"VS1","E","Ideal",1883
0.9,"VS2","F","Ideal",4838
0.4,"VS2","H","Very Good",737
1.5,"VS2","I","Very Good",9342
0.5,"VS2","G","Ideal",1400
1.51,"VVS2","J","Very Good",8550
0.51,"SI2","H","Ideal",983
0.57,"VS1","D","Premium",2360
1.5,"SI1","I","Good",8258
1.07,"SI1","I","Premium",4126
2.02,"VS2","H","Very Good",17887
0.5,"SI2","G","Ideal",1080
1.07,"SI2","G","Ideal",4752
0.31,"VVS1","F","Ideal",840
1.01,"SI1","E","Premium",4853
0.57,"VVS2","E","Ideal",2719
0.32,"SI2","H","Ideal",420
0.3,"VS1","J","Ideal",394
0.41,"VVS1","H","Very Good",1166
0.41,"VVS2","I","Very Good",1061
1,"SI2","F","Very Good",4081
0.82,"SI1","G","Very Good",2893
0.33,"VVS2","F","Ideal",810
0.41,"VS2","E","Premium",999
0.41,"VS2","G","Premium",1061
0.96,"I1","H","Fair",1808
0.41,"IF","G","Ideal",1431
1.01,"VS2","H","Very Good",4821
1.2,"SI2","H","Premium",4301
0.3,"VS1","E","Ideal",911
1.01,"SI2","D","Fair",4205
0.25,"VVS2","D","Very Good",512
0.31,"SI1","E","Premium",698
1,"VS1","E","Very Good",7002
0.33,"VVS1","E","Ideal",1312
1.08,"SI1","E","Ideal",7672
0.33,"VS1","G","Ideal",854
2.18,"SI2","G","Very Good",16878
0.71,"SI1","E","Very Good",2590
0.9,"VS2","J","Very Good",3119
0.73,"VVS2","G","Ideal",2919
0.52,"SI1","G","Premium",1338
2.1,"VS2","J","Premium",12401
0.81,"VS1","I","Very Good",2950
1.02,"I1","H","Ideal",3915
0.71,"VS1","E","Ideal",3081
0.5,"SI1","E","Premium",1415
1.16,"VVS2","F","Ideal",10439
0.32,"VS2","F","Ideal",645
2.03,"SI2","H","Ideal",15143
0.9,"SI1","I","Fair",2873
1.26,"SI2","E","Ideal",4939
0.91,"SI2","G","Good",3282
2.16,"SI2","G","Ideal",18001
0.3,"SI1","E","Very Good",499
1,"SI2","I","Very Good",3276
0.64,"I1","F","Good",1140
2.28,"SI2","J","Good",9068
1.25,"VS1","H","Premium",8099
0.34,"VS1","F","Ideal",723
0.52,"VS1","H","Ideal",1408
0.62,"VS2","G","Good",1850
0.41,"SI1","D","Ideal",1015
0.34,"VS2","D","Very Good",730
1.16,"SI2","H","Very Good",4785
1,"SI1","F","Premium",5221
1.53,"SI2","I","Ideal",8021
1.05,"SI2","E","Very Good",4797
0.52,"VS1","G","Ideal",1803
1.11,"SI1","J","Very Good",3901
0.88,"SI1","F","Ideal",4054
0.4,"SI1","H","Premium",855
1.74,"VS2","G","Ideal",16316
0.31,"VVS1","G","Ideal",816
0.7,"VS2","I","Good",2010
0.33,"VS2","I","Ideal",594
0.32,"SI1","E","Ideal",532
0.76,"SI1","H","Premium",2227
1.05,"VVS2","F","Premium",8693
0.43,"SI1","E","Ideal",792
1.21,"VS2","D","Ideal",10353
0.93,"SI1","E","Ideal",5992
0.41,"SI1","E","Very Good",755
0.38,"VS2","G","Premium",983
0.5,"SI2","H","Premium",958
1.03,"VS1","G","Premium",6749
0.7,"IF","D","Premium",5027
0.34,"VVS1","G","Very Good",819
0.39,"VS2","G","Premium",1009
0.55,"VS2","I","Ideal",1281
0.8,"VS1","F","Good",3477
0.41,"SI1","E","Premium",930
0.3,"VVS2","G","Ideal",665
0.31,"IF","E","Ideal",1214
0.36,"SI1","E","Premium",631
0.4,"VVS2","F","Ideal",1351
0.38,"SI2","D","Very Good",633
0.31,"VS2","D","Ideal",734
0.9,"SI1","D","Ideal",5081
1,"SI2","E","Fair",3136
0.41,"VVS1","F","Very Good",1122
0.32,"SI1","G","Premium",477
0.41,"VVS2","F","Good",1064
0.93,"SI1","H","Ideal",4317
0.9,"VS2","J","Good",3423
1.23,"SI1","I","Ideal",6449
0.4,"VVS1","G","Ideal",1043
1.18,"I1","E","Very Good",3894
1.24,"SI1","H","Premium",6215
0.53,"SI1","E","Very Good",1408
0.33,"SI2","G","Very Good",434
1.1,"SI2","H","Very Good",4561
0.32,"VS1","G","Ideal",645
0.29,"VS2","D","Fair",592
0.41,"VVS2","F","Ideal",1115
0.32,"VS2","G","Premium",720
1.14,"SI1","H","Ideal",7079
0.31,"VVS1","D","Premium",882
0.4,"VVS2","F","Ideal",1196
0.52,"VS1","G","Ideal",1694
0.41,"VS2","D","Ideal",1076
0.59,"VS2","G","Very Good",1556
0.32,"IF","H","Ideal",814
1.02,"SI2","E","Fair",3838
0.8,"SI1","E","Premium",3356
0.51,"I1","D","Ideal",1071
0.94,"SI1","D","Premium",4817
0.32,"VS2","H","Ideal",523
0.73,"SI1","F","Very Good",2675
0.71,"VS1","G","Premium",2825
1.03,"VS1","E","Premium",7778
0.32,"VS2","F","Very Good",624
0.42,"SI1","F","Ideal",886
0.71,"SI1","F","Premium",2198
0.73,"SI1","G","Ideal",2583
0.38,"VS1","G","Ideal",759
0.57,"VS2","D","Premium",1775
1.58,"VS2","H","Ideal",12170
0.33,"VVS1","E","Very Good",1103
0.56,"IF","D","Very Good",4025
0.3,"VVS1","H","Ideal",655
1.02,"SI1","E","Ideal",5702
0.53,"VS1","G","Ideal",1813
0.9,"VS2","J","Ideal",3160
0.3,"SI1","H","Premium",554
1.53,"SI2","G","Ideal",9468
0.74,"VVS1","G","Premium",3145
0.31,"IF","E","Ideal",958
1.01,"VS1","F","Premium",7127
0.7,"SI1","E","Ideal",3330
0.9,"SI2","J","Good",2693
0.76,"SI1","E","Ideal",2858
1.21,"VS2","J","Ideal",5707
0.7,"VVS2","F","Good",2940
0.38,"VVS2","H","Ideal",898
1.06,"SI2","G","Ideal",4662
2.02,"SI2","I","Good",14027
0.36,"SI1","D","Ideal",851
2.01,"SI2","H","Very Good",15773
0.32,"VS2","G","Ideal",720
1.3,"SI1","J","Premium",5569
0.34,"VVS1","E","Fair",1012
0.3,"VS2","G","Ideal",675
0.5,"VS1","D","Ideal",1893
0.5,"SI2","E","Ideal",1104
0.34,"VS2","D","Ideal",1033
1.01,"VS1","D","Premium",8823
0.71,"VS2","I","Ideal",2141
0.37,"VS2","G","Ideal",682
0.3,"VS2","F","Ideal",605
0.32,"SI2","F","Good",421
0.73,"SI1","E","Very Good",2844
0.91,"SI1","G","Ideal",4731
0.3,"SI1","G","Ideal",432
2,"VS2","I","Premium",15651
1.03,"VS2","F","Ideal",6809
1.52,"SI1","G","Premium",9952
0.55,"VVS1","F","Ideal",2359
0.27,"VVS2","H","Ideal",496
1.01,"SI1","E","Good",4032
0.52,"VVS2","E","Ideal",2675
0.8,"SI1","D","Ideal",3597
1.01,"VS1","G","Good",6407
0.7,"VS1","F","Very Good",2767
0.41,"VVS1","G","Ideal",1000
0.54,"VS2","D","Ideal",1892
0.57,"SI1","G","Ideal",1441
0.31,"VS2","F","Ideal",757
1.07,"SI1","E","Ideal",5537
1.03,"VS1","F","Very Good",6662
0.53,"SI2","G","Ideal",1113
0.3,"VS2","E","Ideal",619
0.72,"VVS2","G","Ideal",3002
0.26,"VVS1","H","Ideal",600
0.78,"VS2","E","Very Good",3334
2.19,"SI2","I","Very Good",15907
1.08,"SI2","G","Premium",3701
0.55,"SI1","I","Ideal",1320
1.56,"SI1","F","Premium",11299
0.41,"SI1","F","Premium",969
0.4,"VVS1","F","Premium",1323
0.33,"VVS2","D","Ideal",1021
0.32,"VS1","G","Very Good",645
0.3,"VVS1","E","Ideal",895
1,"VS2","G","Good",6369
0.33,"VVS1","H","Ideal",730
0.4,"SI2","D","Premium",855
0.3,"SI1","F","Good",500
1.2,"VS2","J","Very Good",4590
1.07,"SI2","D","Premium",4949
1.5,"SI2","G","Ideal",8736
0.77,"VS1","G","Very Good",3197
2.1,"SI2","F","Ideal",18124
0.63,"IF","E","Premium",2879
1.14,"SI2","D","Ideal",5548
0.75,"VS2","D","Ideal",3456
0.9,"SI1","F","Premium",4062
0.4,"VS2","F","Premium",842
1.02,"VS2","G","Ideal",6333
2.01,"VS2","I","Premium",13003
1.51,"VS2","I","Ideal",6511
1.2,"VVS1","D","Premium",15686
0.55,"VS2","H","Premium",1363
0.77,"SI2","E","Ideal",2360
1,"VS2","G","Very Good",5940
1.02,"VS2","E","Ideal",6704
0.31,"IF","F","Ideal",914
0.31,"SI1","D","Ideal",533
0.91,"VS2","H","Premium",4238
0.42,"SI1","E","Ideal",992
0.73,"VS1","G","Very Good",2939
1.52,"VS2","G","Ideal",13768
0.71,"IF","G","Good",3583
0.37,"VS2","F","Premium",894
0.28,"VVS1","D","Very Good",642
1.33,"SI2","E","Premium",6963
0.52,"VS2","G","Premium",1577
1.19,"VVS2","D","Ideal",12912
0.33,"SI1","D","Ideal",780
1.02,"VS2","G","Premium",6169
0.78,"VS2","D","Ideal",3811
0.71,"VVS1","H","Ideal",2741
0.78,"VS2","D","Good",3298
0.32,"VVS2","E","Very Good",816
0.35,"VVS1","H","Ideal",756
0.24,"VS1","G","Very Good",391
0.3,"VS1","F","Very Good",704
0.83,"VVS1","I","Very Good",3774
0.7,"SI1","F","Very Good",2196
0.32,"VVS1","E","Ideal",954
1.22,"SI2","F","Fair",4705
1.32,"SI2","I","Very Good",6300
0.35,"VVS2","H","Ideal",906
0.91,"VS1","I","Very Good",3734
0.34,"IF","H","Ideal",863
0.43,"VS2","E","Ideal",981
0.29,"VS1","E","Very Good",481
0.9,"SI1","E","Premium",4158
1.26,"VVS2","G","Very Good",10020
2.02,"SI2","G","Premium",15498
0.54,"VVS2","I","Premium",1944
0.54,"VVS2","E","Premium",2313
1,"VS2","G","Premium",6209
1.61,"VS2","G","Ideal",9521
2.2,"SI2","H","Premium",12747
0.32,"VS1","E","Ideal",972
1.01,"SI1","F","Very Good",4899
0.71,"SI1","J","Ideal",1713
1.61,"SI1","G","Ideal",11859
1.06,"VS1","G","Very Good",6663
0.7,"VS1","G","Very Good",3127
1,"VVS2","H","Premium",5914
0.72,"SI1","G","Very Good",2396
0.8,"SI1","D","Premium",3226
0.32,"VS2","H","Ideal",523
0.71,"VVS2","I","Very Good",2448
0.34,"VVS2","H","Ideal",652
1.06,"SI2","D","Ideal",5253
0.32,"VS2","F","Ideal",828
0.31,"VVS2","E","Ideal",791
0.34,"SI1","F","Premium",727
0.91,"VS1","G","Good",4744
1.01,"SI1","I","Premium",4166
0.74,"VS1","J","Very Good",2170
1.58,"SI1","H","Ideal",10345
0.91,"SI2","F","Fair",2996
0.35,"VS1","G","Ideal",906
2.01,"SI2","G","Fair",15562
1.76,"SI1","D","Premium",12063
0.63,"SI2","E","Premium",1169
0.32,"VVS2","F","Very Good",786
0.6,"SI1","D","Premium",1896
1.21,"VS2","F","Very Good",8711
1.6,"VS1","H","Premium",12084
1.5,"I1","J","Fair",4284
0.41,"SI2","E","Very Good",818
0.26,"VS1","H","Ideal",482
1.02,"SI1","H","Ideal",5047
0.3,"VVS2","G","Premium",878
1.28,"SI1","H","Premium",6580
0.33,"VVS1","F","Ideal",1021
2.15,"SI1","I","Ideal",13006
0.53,"SI2","J","Ideal",856
2.02,"SI2","G","Ideal",18296
0.3,"VVS2","H","Ideal",542
0.7,"SI2","I","Very Good",1775
1.61,"SI1","I","Premium",8978
0.32,"VS1","G","Ideal",828
0.31,"SI1","F","Premium",516
0.48,"SI1","F","Premium",1020
1.81,"SI2","H","Premium",11460
1.17,"VS2","G","Ideal",6321
2.05,"SI2","E","Premium",17237
1.51,"SI1","F","Good",11560
1.1,"VS1","I","Very Good",4878
1,"SI2","D","Fair",3965
0.31,"VS2","F","Premium",625
0.32,"SI2","D","Good",477
1.14,"IF","G","Ideal",12458
0.32,"VS2","F","Premium",828
1.23,"VS2","H","Premium",6957
1,"SI2","F","Premium",3858
0.4,"VS2","J","Very Good",596
0.53,"VVS2","F","Very Good",2175
0.8,"SI1","D","Good",2738
0.52,"SI1","F","Ideal",1223
1.61,"SI1","F","Premium",10477
0.39,"VS2","G","Good",787
1.65,"SI1","J","Fair",5914
0.35,"VVS1","D","Ideal",1672
0.4,"VVS2","F","Ideal",994
1.5,"VS2","H","Premium",11092
0.35,"SI1","D","Premium",827
0.4,"VVS1","E","Ideal",1397
0.43,"VS2","G","Good",891
0.38,"IF","I","Good",886
1.01,"VS1","H","Fair",3676
0.26,"VS2","F","Ideal",453
0.34,"VVS2","G","Very Good",775
0.33,"SI1","D","Ideal",780
1.22,"SI1","G","Ideal",6559
0.38,"SI2","G","Ideal",602
0.32,"VVS2","G","Premium",936
1.75,"SI1","E","Premium",15394
1.54,"VS2","G","Premium",13120
0.36,"SI1","D","Good",663
0.93,"SI1","I","Very Good",3685
1.01,"VS1","J","Good",4129
0.7,"IF","H","Ideal",3309
0.76,"VS1","D","Ideal",4229
0.59,"VS2","E","Very Good",2145
0.53,"VS2","D","Ideal",1956
0.39,"VS2","G","Premium",787
0.9,"VS1","H","Ideal",5013
1.2,"SI1","F","Very Good",6973
0.33,"VVS1","G","Very Good",868
0.35,"SI2","H","Premium",551
0.31,"VS2","G","Ideal",544
0.34,"SI1","H","Very Good",628
0.52,"VS1","F","Ideal",1872
1.01,"VS1","E","Good",7665
0.6,"SI1","D","Ideal",1774
0.41,"VS2","D","Very Good",779
0.3,"VS2","G","Very Good",526
0.72,"SI2","G","Premium",1764
1.21,"VS2","H","Very Good",7426
2.04,"SI1","J","Ideal",14130
0.32,"SI1","G","Premium",477
1.26,"VVS2","E","Ideal",14429
0.79,"SI1","J","Premium",2199
0.72,"VS2","G","Fair",2306
0.7,"I1","G","Fair",1092
0.54,"IF","H","Ideal",1981
0.59,"VVS2","E","Very Good",2494
0.71,"IF","F","Fair",3205
1.2,"VS2","G","Very Good",7318
0.23,"VVS1","F","Good",458
1.04,"VS1","F","Very Good",7534
2.29,"SI2","H","Very Good",11502
0.4,"SI1","F","Premium",882
0.31,"SI1","E","Good",544
1.51,"SI2","H","Fair",6291
0.78,"SI2","H","Very Good",2405
0.32,"VS2","G","Premium",561
0.71,"SI1","G","Premium",2352
0.31,"IF","F","Ideal",888
0.53,"VS1","G","Ideal",1659
0.5,"VS2","G","Premium",1415
0.3,"VS2","D","Ideal",911
0.76,"SI1","F","Premium",2631
0.41,"VS2","F","Ideal",1107
0.53,"VVS1","I","Premium",1607
0.34,"VS2","G","Ideal",765
2.03,"SI1","E","Premium",16629
0.33,"VS1","E","Ideal",781
0.3,"SI1","D","Ideal",552
1.51,"SI1","E","Premium",12319
1.04,"SI1","H","Ideal",6458
0.71,"SI1","H","Very Good",2076
0.35,"SI2","E","Good",588
2,"SI2","I","Very Good",9435
0.41,"VVS2","E","Ideal",1363
0.84,"VS2","E","Premium",3591
1.05,"SI1","E","Good",4878
0.91,"SI2","E","Very Good",3936
0.71,"VS1","D","Premium",3090
0.32,"VS2","D","Ideal",758
0.7,"SI1","E","Very Good",2604
1.51,"VS1","I","Premium",9513
1.63,"VS1","G","Ideal",15840
0.7,"SI1","E","Very Good",2164
0.58,"VVS1","H","Very Good",1979
0.43,"SI1","F","Ideal",975
0.7,"VS2","F","Very Good",2362
0.7,"SI2","F","Fair",2075
0.3,"VS1","H","Premium",526
0.71,"VS1","I","Ideal",2637
1.04,"VVS2","H","Premium",6278
0.7,"VS2","D","Ideal",2867
1.68,"SI2","E","Ideal",11888
1.06,"VVS2","G","Premium",7627
1.02,"VS1","H","Good",5598
2.2,"VS1","J","Premium",15064
1.06,"SI2","I","Premium",4007
0.74,"VS2","J","Very Good",1978
1.02,"SI1","F","Premium",5484
1.07,"SI1","G","Ideal",5232
0.58,"SI1","G","Ideal",1446
1.23,"VS2","I","Premium",6206
1.01,"SI2","H","Very Good",4185
0.3,"VVS2","G","Very Good",684
1.08,"VS2","G","Good",6708
0.32,"IF","G","Very Good",954
0.58,"VVS2","E","Ideal",2529
0.9,"VS1","H","Very Good",4234
1.27,"VS2","J","Ideal",5925
0.31,"VS2","F","Premium",802
1.51,"SI2","H","Fair",6816
0.43,"VS1","F","Very Good",1008
0.31,"IF","I","Ideal",837
1.2,"VS2","F","Premium",8796
0.8,"SI1","D","Premium",3312
0.32,"SI1","G","Premium",612
0.3,"VVS1","G","Ideal",789
1.35,"SI2","E","Premium",5758
1.12,"SI1","G","Premium",5233
0.51,"VVS2","G","Ideal",1825
0.43,"SI1","D","Premium",993
1.01,"SI1","E","Very Good",4830
0.32,"VS2","H","Premium",648
0.51,"VS2","E","Ideal",1614
0.3,"IF","G","Ideal",863
0.24,"VVS1","E","Premium",668
0.54,"SI1","H","Ideal",1291
0.7,"SI2","E","Premium",2037
0.91,"VS2","E","Very Good",5145
0.52,"SI2","H","Premium",975
1.03,"SI1","H","Good",4326
0.4,"VVS2","E","Very Good",1106
1.2,"VS1","F","Ideal",9596
0.27,"VS2","I","Ideal",534
1.58,"VS2","I","Premium",8583
2.01,"SI1","H","Premium",17849
0.74,"VS2","H","Premium",2485
1.24,"SI2","I","Very Good",5497
0.76,"VVS2","D","Ideal",4150
0.25,"VVS1","E","Very Good",633
0.6,"VS1","E","Good",2065
0.41,"IF","F","Very Good",1255
0.34,"IF","F","Good",917
1.2,"SI1","I","Very Good",4785
1.01,"SI2","F","Premium",3717
0.7,"SI2","F","Ideal",2011
0.35,"SI1","H","Premium",630
0.37,"VVS2","E","Ideal",1162
1.1,"VS2","G","Ideal",6972
0.32,"VS2","I","Very Good",449
1.09,"VS2","E","Ideal",7796
0.42,"VS2","G","Ideal",907
0.42,"VS1","G","Ideal",984
0.32,"VS2","F","Ideal",660
0.93,"SI2","G","Fair",3172
0.71,"SI1","D","Ideal",3674
0.31,"VS2","H","Ideal",628
0.3,"VS2","D","Premium",710
0.83,"SI1","J","Good",2195
0.79,"SI1","E","Ideal",3075
0.9,"SI2","G","Ideal",3521
0.7,"VVS1","I","Very Good",2484
0.35,"SI1","F","Ideal",583
0.57,"SI2","E","Good",1214
0.76,"SI2","G","Ideal",2143
0.58,"VS2","D","Ideal",1876
0.71,"SI1","H","Very Good",2471
0.7,"VS2","I","Very Good",2166
1.21,"VS2","E","Ideal",9215
1.02,"SI2","G","Premium",4486
0.53,"SI1","E","Fair",1286
0.73,"VS1","J","Ideal",2121
1.59,"SI1","J","Ideal",7943
1.25,"VS2","J","Premium",5396
1,"SI1","F","Fair",4679
0.53,"VS1","I","Very Good",1393
1.12,"SI1","E","Very Good",5447
1.02,"VVS2","D","Premium",10773
0.34,"VVS2","F","Ideal",712
0.35,"VS2","F","Ideal",906
0.31,"SI1","D","Ideal",571
0.38,"SI1","D","Very Good",733
1.01,"VS2","D","Good",6563
0.33,"VS1","F","Ideal",765
0.31,"SI1","H","Good",402
0.42,"SI1","D","Ideal",970
0.32,"VS2","E","Ideal",846
1.01,"SI1","H","Ideal",5664
0.3,"VS2","G","Premium",675
1.01,"VVS2","E","Very Good",8797
2.32,"VS1","J","Ideal",17891
0.77,"VS1","H","Very Good",2961
0.3,"VS2","E","Ideal",844
0.9,"SI2","D","Good",3798
0.45,"VS1","F","Good",1262
2.02,"SI2","G","Premium",17099
0.76,"VS2","E","Ideal",3249
0.38,"VS1","I","Ideal",700
0.32,"VS2","F","Ideal",645
1.19,"SI2","I","Premium",4498
0.36,"SI1","E","Ideal",810
0.56,"IF","G","Ideal",2279
0.78,"SI2","G","Very Good",2401
0.31,"VVS2","G","Very Good",707
0.42,"VS2","G","Premium",1087
0.56,"SI2","H","Very Good",1144
0.9,"SI1","F","Premium",4183
1.01,"VS2","G","Premium",5288
1.04,"SI1","I","Ideal",4423
1.52,"VS1","I","Very Good",9576
0.43,"VS2","E","Ideal",1048
0.52,"VS1","G","Ideal",1721
0.35,"VVS1","H","Very Good",745
1.03,"VS2","G","Premium",6214
0.5,"VVS1","H","Ideal",1838
1.94,"SI1","F","Premium",18735
1.02,"VVS2","G","Ideal",8401
0.71,"SI1","I","Good",1774
0.43,"SI2","E","Ideal",716
1.05,"SI2","G","Very Good",4241
0.72,"SI1","H","Good",2398
1.74,"VS2","G","Very Good",16169
1.59,"VS2","H","Premium",11437
1,"VS1","H","Premium",5169
0.23,"VVS1","D","Very Good",492
0.56,"SI1","F","Premium",1436
0.4,"VS2","F","Good",826
0.3,"SI1","D","Premium",709
1.54,"VS2","E","Premium",15323
3.5,"I1","H","Ideal",12587
1,"I1","D","Good",2657
0.9,"VS1","H","Very Good",4592
0.57,"VS1","E","Very Good",1942
0.74,"VS1","H","Premium",2744
1,"SI1","J","Fair",3780
